year_month,Category,total_units_sold,total_demand,avg_price,avg_inventory_level,total_units_ordered,promo_days
2022-01,Clothing,51451,62524,74.1126411290323,305.993951612903,54152,160
2022-01,Electronics,31463,38488,84.8904569892473,298.298387096774,34433,120
2022-01,Furniture,38576,45031,124.815896057348,263.044802867384,40835,180
2022-01,Groceries,124473,150434,51.8172741935484,338.676612903226,137777,400
2022-01,Toys,37532,45067,28.0714055299539,226.41935483871,39414,140
2022-02,Clothing,49184,59037,75.2055803571428,310.167410714286,50143,160
2022-02,Electronics,30816,36471,85.7607142857143,307.33630952381,30607,120
2022-02,Furniture,37457,42946,126.330396825397,269.982142857143,38148,180
2022-02,Groceries,118956,139958,52.2054732142857,379.64375,120379,400
2022-02,Toys,34695,41471,27.816556122449,250.436224489796,35271,140
2022-03,Clothing,45300,52905,70.4190927419355,280.217741935484,44232,160
2022-03,Electronics,34750,40102,85.4588978494624,307.768817204301,34920,120
2022-03,Furniture,40729,46379,126.265125448029,267.089605734767,40960,180
2022-03,Groceries,134702,157118,52.5114274193548,384.508870967742,131984,400
2022-03,Toys,48271,56669,30.4087557603687,283.122119815668,46907,140
2022-04,Clothing,44413,52184,70.5275,270.65625,43832,160
2022-04,Electronics,29360,34399,82.3435833333333,302.6,27379,120
2022-04,Furniture,34612,39967,121.241203703704,275.5,31946,180
2022-04,Groceries,116448,135607,50.4427416666667,357.5975,110503,400
2022-04,Toys,35979,42919,27.6891666666667,277.292857142857,35714,140
2022-05,Clothing,46313,54551,70.6240322580645,280.201612903226,47310,160
2022-05,Electronics,22072,25088,75.0685752688172,210.344086021505,24754,120
2022-05,Furniture,23589,26675,110.184910394265,180.453405017921,27044,180
2022-05,Groceries,94845,110333,46.8494758064516,271.460483870968,98187,400
2022-05,Toys,19130,22465,23.325599078341,183.541474654378,19418,140
2022-06,Clothing,43018,50560,69.3960625,258.116666666667,44045,160
2022-06,Electronics,32117,37882,85.2539166666667,293.05,30424,120
2022-06,Furniture,37392,42663,123.610611111111,269.616666666667,35014,180
2022-06,Groceries,145632,173699,55.30175,417.8225,149927,400
2022-06,Toys,34657,40921,27.4527857142857,234.980952380952,34402,140
2022-07,Clothing,45388,53875,70.7053225806452,289.379032258065,44538,160
2022-07,Electronics,22160,26152,76.0296774193548,243.591397849462,23701,120
2022-07,Furniture,23334,27309,110.933136200717,205.060931899642,24746,180
2022-07,Groceries,112795,132940,49.6054758064516,331.208064516129,114767,400
2022-07,Toys,16480,19460,22.6067511520737,169.539170506912,17225,140
2022-08,Clothing,45373,53243,70.3134475806452,262.04435483871,44660,160
2022-08,Electronics,35031,41156,87.3236290322581,310.252688172043,36416,120
2022-08,Furniture,41141,46444,125.684444444444,261.60752688172,40888,180
2022-08,Groceries,157119,185140,56.2211774193548,429.752419354839,154136,400
2022-08,Toys,38041,44454,27.6841935483871,225.801843317972,37772,140
2022-09,Clothing,43080,51283,70.1242291666667,277.447916666667,43740,160
2022-09,Electronics,31945,37763,84.7285277777778,331.736111111111,29714,120
2022-09,Furniture,39216,44616,125.361407407407,247.651851851852,39638,180
2022-09,Groceries,126071,147324,51.9680833333333,361.515833333333,127152,400
2022-09,Toys,36839,43278,27.852,232.007142857143,37116,140
2022-10,Clothing,43436,52065,69.6181451612903,263.229838709677,42587,160
2022-10,Electronics,32480,38554,84.9457258064516,296.182795698925,32413,120
