product_category_name,total_orders,total_exposure_usd,flagged_orders,risk_rate,risk_tier
cama_mesa_banho,9417,222659.16,1502,0.1595,Medium Risk
informatica_acessorios,6689,190184.38,986,0.1474,Medium Risk
relogios_presentes,5624,178077.81,768,0.1366,Medium Risk
beleza_saude,8836,167589.44,1023,0.1158,Medium Risk
esporte_lazer,7720,165752.78,900,0.1166,Medium Risk
moveis_decoracao,6449,165049.51,995,0.1543,Medium Risk
automotivo,3897,134897.13,519,0.1332,Medium Risk
utilidades_domesticas,5884,115309.38,712,0.121,Medium Risk
cool_stuff,3632,99146.94,416,0.1145,Medium Risk
bebes,2885,96394.35,415,0.1438,Medium Risk
ferramentas_jardim,3518,83275.29,433,0.1231,Medium Risk
moveis_escritorio,1273,81991.21,276,0.2168,High Risk
brinquedos,3886,68447.19,461,0.1186,Medium Risk
telefonia,4199,61579.78,591,0.1407,Medium Risk
perfumaria,3162,51800.13,379,0.1199,Medium Risk
telefonia_fixa,217,33736.08,38,0.1751,Medium Risk
eletronicos,2550,32744.12,337,0.1322,Medium Risk
papelaria,2311,31906.74,239,0.1034,Medium Risk
consoles_games,1062,29538.16,120,0.113,Medium Risk
instrumentos_musicais,628,28124.39,79,0.1258,Medium Risk
eletroportateis,630,27538.67,78,0.1238,Medium Risk
pet_shop,1710,26633.58,183,0.107,Medium Risk
fashion_bolsas_e_acessorios,1864,24220.26,191,0.1025,Medium Risk
pcs,181,23065.39,20,0.1105,Medium Risk
agro_industria_e_comercio,182,22266.84,22,0.1209,Medium Risk
construcao_ferramentas_construcao,748,19888.58,99,0.1324,Medium Risk
moveis_sala,422,18193.09,60,0.1422,Medium Risk
eletrodomesticos_2,234,17685.25,31,0.1325,Medium Risk
casa_construcao,490,17258.4,84,0.1714,Medium Risk
malas_acessorios,1034,16160.5,87,0.0841,Low Risk
casa_conforto,397,12769.01,74,0.1864,Medium Risk
audio,350,10328.44,76,0.2171,High Risk
climatizacao,253,9350.46,36,0.1423,Medium Risk
eletrodomesticos,764,9148.96,84,0.1099,Medium Risk
construcao_ferramentas_seguranca,167,8501.36,29,0.1737,Medium Risk
moveis_cozinha_area_de_servico_jantar_e_jardim,248,8077.65,29,0.1169,Medium Risk
construcao_ferramentas_iluminacao,244,5834.03,26,0.1066,Medium Risk
livros_interesse_geral,512,5485.01,38,0.0742,Low Risk
industria_comercio_e_negocios,235,4672.07,24,0.1021,Medium Risk
market_place,280,4196.96,34,0.1214,Medium Risk
portateis_casa_forno_e_cafe,75,3971.58,5,0.0667,Low Risk
construcao_ferramentas_jardim,194,3737.45,25,0.1289,Medium Risk
bebidas,297,3683.16,30,0.101,Medium Risk
alimentos,450,3659.34,45,0.1,Medium Risk
sinalizacao_e_seguranca,140,3474.98,16,0.1143,Medium Risk
artes,202,3370.57,28,0.1386,Medium Risk
fashion_calcados,240,3292.21,28,0.1167,Medium Risk
fashion_roupa_masculina,112,3238.24,25,0.2232,High Risk
dvds_blu_ray,59,3008.06,10,0.1695,Medium Risk
moveis_quarto,95,2881.32,11,0.1158,Medium Risk
livros_tecnicos,260,2220.69,24,0.0923,Low Risk
fashion_underwear_e_moda_praia,121,1763.85,19,0.157,Medium Risk
artigos_de_natal,128,1535.75,15,0.1172,Medium Risk
cine_foto,65,1229.01,7,0.1077,Medium Risk
moveis_colchao_e_estofado,38,1196.31,7,0.1842,Medium Risk
artigos_de_festas,39,1142.29,6,0.1538,Medium Risk
construcao_ferramentas_ferramentas,97,1111.91,8,0.0825,Low Risk
tablets_impressao_imagem,79,975.15,10,0.1266,Medium Risk
alimentos_bebidas,227,955.55,11,0.0485,Low Risk
fashion_roupa_feminina,39,698.08,6,0.1538,Medium Risk
pc_gamer,8,551.8,3,0.375,High Risk
fraldas_higiene,27,408.86,4,0.1481,Medium Risk
fashion_esporte,27,400.27,2,0.0741,Low Risk
livros_importados,53,384.15,5,0.0943,Low Risk
la_cuisine,13,375.16,2,0.1538,Medium Risk
musica,38,364.83,4,0.1053,Medium Risk
artes_e_artesanato,23,308.56,3,0.1304,Medium Risk
portateis_cozinha_e_preparadores_de_alimentos,14,189.41,4,0.2857,High Risk
casa_conforto_2,24,183.61,5,0.2083,High Risk
flores,29,121.2,2,0.069,Low Risk
seguros_e_servicos,2,115.45,1,0.5,High Risk
fashion_roupa_infanto_juvenil,8,0.0,0,0.0,Low Risk
cds_dvds_musicais,12,0.0,0,0.0,Low Risk
