seller_id,total_orders,total_exposure_usd,flagged_orders,risk_rate,risk_tier
7c67e1448b00f6e969d365cea6b010ab,982,69567.61,248,0.2525,High Risk
4a3ca9315b744ce9f8e9374361493884,1806,45718.42,328,0.1816,Medium Risk
5dceca129747e92ff8ef7a997dc4f8ca,325,38176.45,62,0.1908,Medium Risk
1025f0e2d44d7041d6cf58b6550e0bfa,915,32592.6,154,0.1683,Medium Risk
4869f7a5dfa277a7dca6462dcf3b52b2,1132,31388.74,147,0.1299,Medium Risk
da8622b14eb17ae2831f4ac5b9dab84a,1314,30798.31,155,0.118,Medium Risk
1f50f920176fa81dab994f9023523100,1404,25632.61,196,0.1396,Medium Risk
6560211a19b47992c3666cc44a7e94c0,1854,25490.87,298,0.1607,Medium Risk
b37c4c02bda3161a7546a4e6d222d5b2,4,24297.2,3,0.75,High Risk
7d13fca15225358621be4086e1eb0964,565,23926.45,95,0.1681,Medium Risk
53243585a1d6dc2643021fd1853d8905,358,22888.76,36,0.1006,Medium Risk
955fee9216a65b617aa5c0531780ce60,1287,21919.7,129,0.1002,Medium Risk
b1b3948701c5c72445495bd161b83a4c,18,21197.78,12,0.6667,High Risk
cc419e0650a3c5ba77189a1882b7556a,1706,18438.89,223,0.1307,Medium Risk
fa1c13f2614d7b5c4749cbc52fecda94,585,18266.62,56,0.0957,Low Risk
7e93a43ef30c4f03f38b393420bc753a,336,18147.61,30,0.0893,Low Risk
2eb70248d66e0e3ef83659f71b244378,202,17980.5,88,0.4356,High Risk
712e6ed8aa4aa1fa65dab41fed5737e4,79,17077.85,27,0.3418,High Risk
7a67c85e85bb2ce8582c35f2203ad736,1160,16744.84,114,0.0983,Low Risk
522620dcb18a6b31cd7bdf73665113a9,174,16672.46,32,0.1839,Medium Risk
cca3071e3e9bb7d12640c9fbe2301306,712,15695.7,135,0.1896,Medium Risk
a1043bafd471dff536d0c462352beb48,718,14337.0,69,0.0961,Low Risk
88460e8ebdecbfecb5f9601833981930,248,14305.08,77,0.3105,High Risk
46dc3b2cc0980fb8ec44634e21d2718e,521,14250.22,58,0.1113,Medium Risk
620c87c171fb2a6dd6e8bb4dec959fc6,740,13891.04,88,0.1189,Medium Risk
40db9e9aa57f7bb151bcda6b0f9bdbb7,12,13646.91,7,0.5833,High Risk
3d871de0142ce09b7081e2b9d1733cb1,1080,13565.97,114,0.1056,Medium Risk
25c5c91f63607446a97b143d2d535d31,158,13519.74,31,0.1962,Medium Risk
04308b1ee57b6625f47df1d56f00eedf,94,13002.56,18,0.1915,Medium Risk
8444e55c1f13cd5c179851e5ca5ebd00,99,11210.17,34,0.3434,High Risk
8160255418d5aaa7dbdc9f4c64ebda44,385,10847.8,64,0.1662,Medium Risk
17e34d8224d27a541263c4c64b11a56b,255,10593.13,29,0.1137,Medium Risk
7ddcbb64b5bc1ef36ca8c151f6ec77df,334,9896.94,51,0.1527,Medium Risk
634964b17796e64304cadf1ad3050fb7,268,9777.86,41,0.153,Medium Risk
c4f7fee5b0db50e87766f5a4d1b1b758,8,9776.48,4,0.5,High Risk
1ca7077d890b907f89be8c954a02686a,115,9638.21,64,0.5565,High Risk
4e922959ae960d389249c378d1c939f5,420,9440.88,74,0.1762,Medium Risk
77530e9772f57a62c906e1c21538ab82,320,9166.02,47,0.1469,Medium Risk
1835b56ce799e6a4dc4eddc053f04066,423,9093.89,100,0.2364,High Risk
855668e0971d4dfd7bef1b6a4133b41b,312,8936.38,63,0.2019,High Risk
391fc6631aebcf3004804e51b40bcf1e,526,8833.72,79,0.1502,Medium Risk
ea8482cd71df3c1969d7b9473ff13abc,1146,8799.55,165,0.144,Medium Risk
897060da8b9a21f655304d50fd935913,317,8326.38,72,0.2271,High Risk
8581055ce74af1daba164fdbd55a40de,387,8286.86,38,0.0982,Low Risk
218d46b86c1881d022bce9c68a7d4b15,388,8274.08,47,0.1211,Medium Risk
de722cd6dad950a92b7d4f82673f8833,339,7987.21,31,0.0914,Low Risk
d2374cbcbb3ca4ab1086534108cc3ab7,524,7845.18,105,0.2004,High Risk
c826c40d7b19f62a09e2d7c5e7295ee2,354,7813.85,49,0.1384,Medium Risk
c3867b4666c7d76867627c2f7fb22e21,245,7811.59,40,0.1633,Medium Risk
70a12e78e608ac31179aea7f8422044b,315,7749.11,61,0.1937,Medium Risk
ccc4bbb5f32a6ab2b7066a4130f114e3,187,7700.88,20,0.107,Medium Risk
e9779976487b77c6d4ac45f75ec7afe9,657,7647.04,69,0.105,Medium Risk
d1c281d3ae149232351cd8c8cc885f0d,215,7334.31,47,0.2186,High Risk
f5a590cf36251cf1162ea35bef76fe84,117,7244.25,15,0.1282,Medium Risk
ceaec5548eefc6e23e6607c5435102e7,203,7210.69,24,0.1182,Medium Risk
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,7185.53,6,0.3,High Risk
7142540dd4c91e2237acb7e911c4eba2,319,7141.11,44,0.1379,Medium Risk
b2ba3715d723d245138f291a6fe42594,337,7106.81,42,0.1246,Medium Risk
59417c56835dd8e2e72f91f809cd4092,18,6928.87,2,0.1111,Medium Risk
8e6d7754bc7e0f22c96d255ebda59eba,85,6911.85,22,0.2588,High Risk
0b90b6df587eb83608a64ea8b390cf07,164,6859.96,27,0.1646,Medium Risk
165fc07beebdcb6190fba8a06db2a449,50,6779.27,11,0.22,High Risk
fe2032dab1a61af8794248c8196565c9,294,6758.8,28,0.0952,Low Risk
06a2c3af7b3aee5d69171b0e14f0ee87,392,6758.12,62,0.1582,Medium Risk
cf8ab1616079e2793aa29d524df01bb1,9,6719.36,4,0.4444,High Risk
7178f9f4dd81dcef02f62acdf8151e01,203,6664.86,29,0.1429,Medium Risk
2bf6a2c1e71bbd29a4ad64e6d3c3629f,30,6659.29,4,0.1333,Medium Risk
f7ba60f8c3f99e7ee4042fdef03b70c4,219,6652.77,23,0.105,Medium Risk
d91fb3b7d041e83b64a00a3edfb37e4f,535,6588.78,72,0.1346,Medium Risk
e9bc59e7b60fc3063eb2290deda4cced,216,6520.61,31,0.1435,Medium Risk
dc4a0fc896dc34b0d5bfec8438291c80,231,6476.39,47,0.2035,High Risk
710e3548e02bc1d2831dfc4f1b5b14d4,136,6423.14,40,0.2941,High Risk
1900267e848ceeba8fa32d80c1a5f5a8,411,6253.71,76,0.1849,Medium Risk
966cb4760537b1404caedd472cc610a5,75,6213.93,8,0.1067,Medium Risk
53e4c6e0f4312d4d2107a8c9cddf45cd,473,6119.87,61,0.129,Medium Risk
2528513dd95219a6013d4d05176e391a,161,6094.04,28,0.1739,Medium Risk
f08a5b9dd6767129688d001acafc21e5,11,6081.54,1,0.0909,Low Risk
59b22a78efb79a4797979612b885db36,125,6059.89,25,0.2,High Risk
6bd69102ab48df500790a8cecfc285c2,5,5960.66,3,0.6,High Risk
a416b6a846a11724393025641d4edd5e,162,5958.35,27,0.1667,Medium Risk
001cca7ae9ae17fb1caed9dfb1094831,200,5905.17,27,0.135,Medium Risk
4d6d651bd7684af3fffabd5f08d12e5a,369,5854.14,44,0.1192,Medium Risk
b33e7c55446eabf8fe1a42d037ac7d6d,152,5682.98,19,0.125,Medium Risk
d71d863e5ef30d94e440c11be17dcd8f,29,5682.27,8,0.2759,High Risk
7ad32824caee82087b3e2e5f33b1bf32,151,5549.7,28,0.1854,Medium Risk
17a053fcb14bd219540cbde0df490be0,125,5470.25,12,0.096,Low Risk
f8db351d8c4c4c22c6835c19a46f01b0,667,5382.47,64,0.096,Low Risk
f457c46070d02cadd8a68551231220dd,199,5376.01,42,0.2111,High Risk
37be5a7c751166fbc5f8ccba4119e043,272,5366.23,24,0.0882,Low Risk
7681ef142fd2c19048da7430856b5588,59,5235.32,7,0.1186,Medium Risk
8b321bb669392f5163d04c59e235e066,943,5184.99,131,0.1389,Medium Risk
9c0e69c7bf2619675bbadf47b43f655a,157,5180.16,20,0.1274,Medium Risk
48162d548f5b1b11b9d29d1e01f75a61,68,5160.86,12,0.1765,Medium Risk
610f72e407cdd7caaa2f8167b0163fd8,16,5117.81,5,0.3125,High Risk
c004e5ea15737026cecaee0447e00b75,2,4874.32,2,1.0,High Risk
17f51e7198701186712e53a39c564617,56,4846.71,5,0.0893,Low Risk
4c2b230173bb36f9b240f2b8ac11786e,261,4841.65,46,0.1762,Medium Risk
ea566164622c6b439516ab18062c42cd,50,4793.58,12,0.24,High Risk
54965bbe3e4f07ae045b90b0b8541f52,78,4719.03,28,0.359,High Risk
a4b6b9b992b46e9ef863637af96e04bc,7,4700.76,2,0.2857,High Risk
0b35c634521043bf4b47e21547b99ab5,51,4691.95,17,0.3333,High Risk
b839e41795b7f3ad94cc2014a52f6796,33,4659.66,6,0.1818,Medium Risk
c33847515fa6305ce6feb1e818569f13,114,4647.47,24,0.2105,High Risk
5058e8c1e82653974541e83690655b4a,63,4645.18,19,0.3016,High Risk
a6bd7d1ccdac48c6b33b28596b7eb122,16,4635.76,5,0.3125,High Risk
4a3ccda38b2129705f3fb522db62ca31,66,4601.82,14,0.2121,High Risk
44073f8b7e41514de3b7815dd0237f4f,144,4594.66,29,0.2014,High Risk
c26a2be5b53b7db6b276280da212a779,13,4584.48,5,0.3846,High Risk
c3cfdc648177fdbbbb35635a37472c53,278,4549.22,21,0.0755,Low Risk
cd68562d3f44870c08922d380acae552,125,4545.87,21,0.168,Medium Risk
a49928bcdf77c55c6d6e05e09a9b4ca5,98,4530.08,39,0.398,High Risk
