product_id,total_qty,total_revenue,avg_unit_price,avg_freight_price,avg_price_vs_competitor,avg_freight_vs_competitor,above_market_count,at_market_count,below_market_count,price_volume_correlation,avg_product_score,avg_customers,holiday_qty_share,record_count,product_category_name
health2,195,63885.0,326.99,19.37,262.87,4.38,13,0,0,0.487,4.2,118.77,0.5795,13,health_beauty
health5,156,54730.2,350.74,27.14,270.03,11.67,20,0,0,0.032,4.3,88.75,0.5256,20,health_beauty
computers4,341,46916.51,141.58,40.61,5.56,6.85,5,13,0,-0.314,4.2,53.78,0.5044,18,computers_accessories
bed2,487,42938.66,86.77,17.06,2.83,0.41,11,3,5,0.468,3.9,50.95,0.6345,19,bed_bath_table
computers6,274,41082.6,149.96,26.59,29.61,-1.42,8,0,0,-0.228,4.3,99.12,0.3796,8,computers_accessories
watches6,323,37683.42,132.53,13.53,-9.23,-2.51,0,2,12,-0.563,4.2,91.71,0.5511,14,watches_gifts
furniture2,527,37608.9,77.51,16.73,8.06,-0.74,6,6,1,-0.647,4.1,49.69,0.4137,13,furniture_decor
watches1,194,31786.82,180.63,18.44,21.01,1.27,15,2,0,-0.594,3.8,79.53,0.5876,17,watches_gifts
watches7,123,31623.81,305.69,15.72,144.95,-0.52,12,0,0,-0.774,3.7,103.0,0.5772,12,watches_gifts
watches5,143,30467.5,213.9,16.18,61.63,0.17,10,0,0,-0.128,4.1,102.1,0.5245,10,watches_gifts
bed5,154,29997.36,198.38,19.2,86.97,2.84,5,0,0,-0.265,4.4,77.0,1.0,5,bed_bath_table
garden6,484,26577.22,54.89,17.59,-0.08,-1.37,0,16,0,-0.034,4.1,113.44,0.4855,16,garden_tools
watches4,225,23943.0,106.26,18.58,-22.8,1.37,0,0,10,0.221,4.2,115.2,0.3111,10,watches_gifts
health8,259,22627.23,86.85,14.95,29.23,0.17,17,0,0,0.307,4.1,101.41,0.5521,17,health_beauty
garden10,391,21390.69,55.03,20.45,0.06,1.38,0,16,0,-0.128,4.2,113.44,0.4425,16,garden_tools
garden4,388,21056.8,54.28,18.87,0.02,-0.01,0,14,0,-0.008,4.1,125.36,0.4021,14,garden_tools
watches2,146,20593.22,144.79,18.37,1.45,1.87,4,8,3,-0.333,4.0,89.53,0.4041,15,watches_gifts
garden8,118,20495.56,172.92,42.73,101.5,21.27,12,2,0,0.092,4.2,113.43,0.4746,14,garden_tools
garden9,373,20387.2,55.26,19.82,0.0,0.99,0,17,0,-0.183,4.0,107.76,0.4692,17,garden_tools
watches8,117,19009.4,184.5,16.07,39.79,-0.08,10,0,0,-0.715,4.1,106.0,0.5897,10,watches_gifts
health3,156,18889.44,117.31,34.69,58.02,19.01,8,0,0,0.953,4.1,130.12,0.5577,8,health_beauty
cool4,108,17643.92,158.79,21.38,45.66,2.76,9,0,0,0.38,3.8,42.11,0.4444,9,cool_stuff
computers2,183,15439.25,87.23,16.63,-33.69,-11.19,0,0,10,-0.207,3.5,86.4,0.3333,10,computers_accessories
cool2,119,15159.81,128.22,19.51,17.12,1.3,13,0,0,-0.287,4.3,41.08,0.6723,13,cool_stuff
computers3,103,15111.82,143.47,28.08,0.24,-1.57,2,7,1,0.402,4.2,52.9,0.5922,10,computers_accessories
garden1,148,14869.03,105.76,38.5,43.94,17.66,16,2,0,-0.521,4.3,102.17,0.5135,18,garden_tools
garden3,141,14492.14,105.37,38.5,41.32,16.67,15,3,0,-0.348,4.1,96.83,0.3901,18,garden_tools
health7,231,13866.69,60.49,15.4,3.62,0.74,4,15,1,-0.28,3.9,88.75,0.6234,20,health_beauty
perfumery2,106,12636.9,123.82,15.07,19.77,0.5,11,2,0,-0.673,4.4,17.15,0.4528,13,perfumery
watches3,160,12475.0,77.99,14.88,-54.58,-1.55,0,0,15,-0.349,3.9,86.33,0.6312,15,watches_gifts
computers1,139,12306.81,92.48,15.04,-25.99,-10.68,0,1,14,-0.321,4.0,59.33,0.4604,15,computers_accessories
cool1,120,11868.42,98.36,16.83,-2.58,-0.56,3,2,10,0.158,4.2,36.73,0.7167,15,cool_stuff
computers5,127,11240.96,100.24,14.47,-27.27,-13.58,0,1,7,-0.352,3.5,95.38,0.1654,8,computers_accessories
garden5,113,10759.3,94.57,43.85,33.77,22.92,12,2,0,0.097,4.1,113.79,0.646,14,garden_tools
health1,122,10368.78,84.99,17.19,27.96,1.91,9,0,0,,3.8,114.11,0.5,9,health_beauty
bed3,111,10304.96,92.1,15.67,19.73,-0.87,11,0,0,0.245,3.3,48.18,0.2613,11,bed_bath_table
health6,150,9862.5,64.99,26.07,7.93,11.01,5,2,0,0.726,3.9,130.71,0.5533,7,health_beauty
furniture4,101,9646.2,96.16,23.17,23.88,4.46,10,0,0,-0.2,4.4,61.0,0.505,10,furniture_decor
cool5,97,9627.65,98.66,18.3,-2.77,0.5,3,1,9,0.239,4.3,40.15,0.7113,13,cool_stuff
health10,155,7757.91,50.54,11.88,-5.99,-2.58,0,4,3,-0.331,4.2,134.71,0.5935,7,health_beauty
perfumery1,138,7675.62,54.87,13.6,-19.77,-0.5,0,2,11,0.367,4.3,15.69,0.6304,13,perfumery
garden2,127,7333.7,54.83,26.67,-0.42,7.81,0,16,1,0.576,4.3,107.76,0.6772,17,garden_tools
health9,281,6325.19,22.62,13.81,-31.63,-0.98,0,0,18,-0.095,4.3,91.56,0.5658,18,health_beauty
garden7,115,6220.9,54.96,18.27,-0.01,-0.56,0,16,0,-0.396,4.2,112.88,0.4348,16,garden_tools
furniture1,169,6162.11,36.75,14.46,-26.43,-2.69,0,1,12,-0.267,3.7,47.15,0.4793,13,furniture_decor
bed4,131,6011.77,46.73,15.16,-10.91,-1.22,0,0,10,-0.905,4.2,51.5,0.2214,10,bed_bath_table
bed1,143,5831.77,42.21,15.03,-30.54,-1.37,0,0,16,-0.712,4.0,57.19,0.4755,16,bed_bath_table
health4,137,4096.3,29.9,10.53,-26.32,-4.25,0,0,11,,4.5,124.82,0.5109,11,health_beauty
cool3,114,3656.5,42.0,20.75,-26.25,-1.21,0,3,4,-0.427,4.4,26.0,0.2807,7,cool_stuff
furniture3,97,3507.95,36.71,14.67,-27.8,-2.22,0,1,11,-0.238,3.8,52.17,0.3093,12,furniture_decor
consoles1,142,3416.7,28.24,15.71,0.04,0.23,0,12,0,-0.762,4.2,18.17,0.5352,12,consoles_games
consoles2,97,2384.0,25.58,13.73,-0.05,-0.27,0,10,0,-0.281,3.9,22.1,0.5258,10,consoles_games
